node1,node2,node1_region,node2_region,socioeconomic_distance_pca
23,292,JOHOR JAYA,PERMAS,0.6275575689546616
23,33,JOHOR JAYA,JOHOR JAYA,0.0
23,326,JOHOR JAYA,PERMAS,0.6275575689546616
23,32,JOHOR JAYA,JOHOR JAYA,0.0
24,34,JOHOR JAYA,JOHOR JAYA,0.0
24,29,JOHOR JAYA,JOHOR JAYA,0.0
24,28,JOHOR JAYA,JOHOR JAYA,0.0
25,26,JOHOR JAYA,JOHOR JAYA,0.0
26,28,JOHOR JAYA,JOHOR JAYA,0.0
27,35,JOHOR JAYA,JOHOR JAYA,0.0
27,245,JOHOR JAYA,TIRAM,0.32922015070119914
27,271,JOHOR JAYA,TIRAM,0.32922015070119914
27,243,JOHOR JAYA,TIRAM,0.32922015070119914
28,34,JOHOR JAYA,JOHOR JAYA,0.0
29,286,JOHOR JAYA,PERMAS,0.6275575689546616
29,324,JOHOR JAYA,PERMAS,0.6275575689546616
32,326,JOHOR JAYA,PERMAS,0.6275575689546616
32,292,JOHOR JAYA,PERMAS,0.6275575689546616
33,36,JOHOR JAYA,JOHOR JAYA,0.0
33,326,JOHOR JAYA,PERMAS,0.6275575689546616
34,59,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
34,81,JOHOR JAYA,PUTERI WANGSA,0.46193516057016215
35,245,JOHOR JAYA,TIRAM,0.32922015070119914
36,326,JOHOR JAYA,PERMAS,0.6275575689546616
36,306,JOHOR JAYA,PERMAS,0.6275575689546616
37,91,PUTERI WANGSA,PUTERI WANGSA,0.0
37,64,PUTERI WANGSA,PUTERI WANGSA,0.0
37,81,PUTERI WANGSA,PUTERI WANGSA,0.0
37,59,PUTERI WANGSA,PUTERI WANGSA,0.0
37,120,PUTERI WANGSA,PUTERI WANGSA,0.0
37,43,PUTERI WANGSA,PUTERI WANGSA,0.0
38,115,PUTERI WANGSA,PUTERI WANGSA,0.0
38,129,PUTERI WANGSA,PUTERI WANGSA,0.0
38,113,PUTERI WANGSA,PUTERI WANGSA,0.0
38,46,PUTERI WANGSA,PUTERI WANGSA,0.0
38,83,PUTERI WANGSA,PUTERI WANGSA,0.0
39,134,PUTERI WANGSA,PUTERI WANGSA,0.0
39,131,PUTERI WANGSA,PUTERI WANGSA,0.0
39,83,PUTERI WANGSA,PUTERI WANGSA,0.0
39,92,PUTERI WANGSA,PUTERI WANGSA,0.0
39,123,PUTERI WANGSA,PUTERI WANGSA,0.0
39,142,PUTERI WANGSA,PUTERI WANGSA,0.0
40,119,PUTERI WANGSA,PUTERI WANGSA,0.0
40,42,PUTERI WANGSA,PUTERI WANGSA,0.0
40,79,PUTERI WANGSA,PUTERI WANGSA,0.0
40,107,PUTERI WANGSA,PUTERI WANGSA,0.0
40,95,PUTERI WANGSA,PUTERI WANGSA,0.0
40,86,PUTERI WANGSA,PUTERI WANGSA,0.0
40,133,PUTERI WANGSA,PUTERI WANGSA,0.0
40,60,PUTERI WANGSA,PUTERI WANGSA,0.0
40,41,PUTERI WANGSA,PUTERI WANGSA,0.0
40,122,PUTERI WANGSA,PUTERI WANGSA,0.0
41,42,PUTERI WANGSA,PUTERI WANGSA,0.0
41,138,PUTERI WANGSA,PUTERI WANGSA,0.0
41,84,PUTERI WANGSA,PUTERI WANGSA,0.0
41,107,PUTERI WANGSA,PUTERI WANGSA,0.0
42,118,PUTERI WANGSA,PUTERI WANGSA,0.0
42,117,PUTERI WANGSA,PUTERI WANGSA,0.0
42,119,PUTERI WANGSA,PUTERI WANGSA,0.0
42,138,PUTERI WANGSA,PUTERI WANGSA,0.0
43,59,PUTERI WANGSA,PUTERI WANGSA,0.0
43,120,PUTERI WANGSA,PUTERI WANGSA,0.0
43,55,PUTERI WANGSA,PUTERI WANGSA,0.0
43,45,PUTERI WANGSA,PUTERI WANGSA,0.0
43,100,PUTERI WANGSA,PUTERI WANGSA,0.0
44,105,PUTERI WANGSA,PUTERI WANGSA,0.0
44,125,PUTERI WANGSA,PUTERI WANGSA,0.0
44,61,PUTERI WANGSA,PUTERI WANGSA,0.0
44,104,PUTERI WANGSA,PUTERI WANGSA,0.0
44,48,PUTERI WANGSA,PUTERI WANGSA,0.0
45,129,PUTERI WANGSA,PUTERI WANGSA,0.0
45,59,PUTERI WANGSA,PUTERI WANGSA,0.0
45,113,PUTERI WANGSA,PUTERI WANGSA,0.0
45,89,PUTERI WANGSA,PUTERI WANGSA,0.0
45,141,PUTERI WANGSA,PUTERI WANGSA,0.0
45,102,PUTERI WANGSA,PUTERI WANGSA,0.0
45,100,PUTERI WANGSA,PUTERI WANGSA,0.0
46,113,PUTERI WANGSA,PUTERI WANGSA,0.0
46,136,PUTERI WANGSA,PUTERI WANGSA,0.0
46,106,PUTERI WANGSA,PUTERI WANGSA,0.0
46,83,PUTERI WANGSA,PUTERI WANGSA,0.0
47,90,PUTERI WANGSA,PUTERI WANGSA,0.0
47,78,PUTERI WANGSA,PUTERI WANGSA,0.0
47,119,PUTERI WANGSA,PUTERI WANGSA,0.0
47,64,PUTERI WANGSA,PUTERI WANGSA,0.0
47,85,PUTERI WANGSA,PUTERI WANGSA,0.0
48,95,PUTERI WANGSA,PUTERI WANGSA,0.0
48,104,PUTERI WANGSA,PUTERI WANGSA,0.0
48,139,PUTERI WANGSA,PUTERI WANGSA,0.0
48,61,PUTERI WANGSA,PUTERI WANGSA,0.0
49,110,PUTERI WANGSA,PUTERI WANGSA,0.0
49,85,PUTERI WANGSA,PUTERI WANGSA,0.0
49,78,PUTERI WANGSA,PUTERI WANGSA,0.0
49,116,PUTERI WANGSA,PUTERI WANGSA,0.0
49,182,PUTERI WANGSA,KEMPAS,0.7515628182988967
50,91,PUTERI WANGSA,PUTERI WANGSA,0.0
50,110,PUTERI WANGSA,PUTERI WANGSA,0.0
50,339,PUTERI WANGSA,LARKIN,0.6890264492555663
51,66,PUTERI WANGSA,PUTERI WANGSA,0.0
51,58,PUTERI WANGSA,PUTERI WANGSA,0.0
51,80,PUTERI WANGSA,PUTERI WANGSA,0.0
51,101,PUTERI WANGSA,PUTERI WANGSA,0.0
51,97,PUTERI WANGSA,PUTERI WANGSA,0.0
52,125,PUTERI WANGSA,PUTERI WANGSA,0.0
52,104,PUTERI WANGSA,PUTERI WANGSA,0.0
52,108,PUTERI WANGSA,PUTERI WANGSA,0.0
52,77,PUTERI WANGSA,PUTERI WANGSA,0.0
53,242,PUTERI WANGSA,TIRAM,0.7557065225948408
53,101,PUTERI WANGSA,PUTERI WANGSA,0.0
53,121,PUTERI WANGSA,PUTERI WANGSA,0.0
53,58,PUTERI WANGSA,PUTERI WANGSA,0.0
53,103,PUTERI WANGSA,PUTERI WANGSA,0.0
53,246,PUTERI WANGSA,TIRAM,0.7557065225948408
53,76,PUTERI WANGSA,PUTERI WANGSA,0.0
53,99,PUTERI WANGSA,PUTERI WANGSA,0.0
53,97,PUTERI WANGSA,PUTERI WANGSA,0.0
54,107,PUTERI WANGSA,PUTERI WANGSA,0.0
54,96,PUTERI WANGSA,PUTERI WANGSA,0.0
54,95,PUTERI WANGSA,PUTERI WANGSA,0.0
54,124,PUTERI WANGSA,PUTERI WANGSA,0.0
55,120,PUTERI WANGSA,PUTERI WANGSA,0.0
55,64,PUTERI WANGSA,PUTERI WANGSA,0.0
55,79,PUTERI WANGSA,PUTERI WANGSA,0.0
55,100,PUTERI WANGSA,PUTERI WANGSA,0.0
55,65,PUTERI WANGSA,PUTERI WANGSA,0.0
56,59,PUTERI WANGSA,PUTERI WANGSA,0.0
56,115,PUTERI WANGSA,PUTERI WANGSA,0.0
56,131,PUTERI WANGSA,PUTERI WANGSA,0.0
56,137,PUTERI WANGSA,PUTERI WANGSA,0.0
57,130,PUTERI WANGSA,PUTERI WANGSA,0.0
57,70,PUTERI WANGSA,PUTERI WANGSA,0.0
57,67,PUTERI WANGSA,PUTERI WANGSA,0.0
57,96,PUTERI WANGSA,PUTERI WANGSA,0.0
57,124,PUTERI WANGSA,PUTERI WANGSA,0.0
58,121,PUTERI WANGSA,PUTERI WANGSA,0.0
58,66,PUTERI WANGSA,PUTERI WANGSA,0.0
58,97,PUTERI WANGSA,PUTERI WANGSA,0.0
59,115,PUTERI WANGSA,PUTERI WANGSA,0.0
59,81,PUTERI WANGSA,PUTERI WANGSA,0.0
59,129,PUTERI WANGSA,PUTERI WANGSA,0.0
60,100,PUTERI WANGSA,PUTERI WANGSA,0.0
60,133,PUTERI WANGSA,PUTERI WANGSA,0.0
60,79,PUTERI WANGSA,PUTERI WANGSA,0.0
60,122,PUTERI WANGSA,PUTERI WANGSA,0.0
61,273,PUTERI WANGSA,TIRAM,0.7557065225948408
61,126,PUTERI WANGSA,PUTERI WANGSA,0.0
61,105,PUTERI WANGSA,PUTERI WANGSA,0.0
61,139,PUTERI WANGSA,PUTERI WANGSA,0.0
62,69,PUTERI WANGSA,PUTERI WANGSA,0.0
62,88,PUTERI WANGSA,PUTERI WANGSA,0.0
62,68,PUTERI WANGSA,PUTERI WANGSA,0.0
62,76,PUTERI WANGSA,PUTERI WANGSA,0.0
63,135,PUTERI WANGSA,PUTERI WANGSA,0.0
63,73,PUTERI WANGSA,PUTERI WANGSA,0.0
63,71,PUTERI WANGSA,PUTERI WANGSA,0.0
63,117,PUTERI WANGSA,PUTERI WANGSA,0.0
63,67,PUTERI WANGSA,PUTERI WANGSA,0.0
63,138,PUTERI WANGSA,PUTERI WANGSA,0.0
64,91,PUTERI WANGSA,PUTERI WANGSA,0.0
64,85,PUTERI WANGSA,PUTERI WANGSA,0.0
64,120,PUTERI WANGSA,PUTERI WANGSA,0.0
64,119,PUTERI WANGSA,PUTERI WANGSA,0.0
64,65,PUTERI WANGSA,PUTERI WANGSA,0.0
65,119,PUTERI WANGSA,PUTERI WANGSA,0.0
65,79,PUTERI WANGSA,PUTERI WANGSA,0.0
66,121,PUTERI WANGSA,PUTERI WANGSA,0.0
66,109,PUTERI WANGSA,PUTERI WANGSA,0.0
66,136,PUTERI WANGSA,PUTERI WANGSA,0.0
66,89,PUTERI WANGSA,PUTERI WANGSA,0.0
66,141,PUTERI WANGSA,PUTERI WANGSA,0.0
66,105,PUTERI WANGSA,PUTERI WANGSA,0.0
66,98,PUTERI WANGSA,PUTERI WANGSA,0.0
66,80,PUTERI WANGSA,PUTERI WANGSA,0.0
66,87,PUTERI WANGSA,PUTERI WANGSA,0.0
66,82,PUTERI WANGSA,PUTERI WANGSA,0.0
66,241,PUTERI WANGSA,TIRAM,0.7557065225948408
67,135,PUTERI WANGSA,PUTERI WANGSA,0.0
67,130,PUTERI WANGSA,PUTERI WANGSA,0.0
67,96,PUTERI WANGSA,PUTERI WANGSA,0.0
67,138,PUTERI WANGSA,PUTERI WANGSA,0.0
68,267,PUTERI WANGSA,TIRAM,0.7557065225948408
68,246,PUTERI WANGSA,TIRAM,0.7557065225948408
68,103,PUTERI WANGSA,PUTERI WANGSA,0.0
68,69,PUTERI WANGSA,PUTERI WANGSA,0.0
68,248,PUTERI WANGSA,TIRAM,0.7557065225948408
68,263,PUTERI WANGSA,TIRAM,0.7557065225948408
68,76,PUTERI WANGSA,PUTERI WANGSA,0.0
69,248,PUTERI WANGSA,TIRAM,0.7557065225948408
69,273,PUTERI WANGSA,TIRAM,0.7557065225948408
69,88,PUTERI WANGSA,PUTERI WANGSA,0.0
69,121,PUTERI WANGSA,PUTERI WANGSA,0.0
70,130,PUTERI WANGSA,PUTERI WANGSA,0.0
70,273,PUTERI WANGSA,TIRAM,0.7557065225948408
70,126,PUTERI WANGSA,PUTERI WANGSA,0.0
70,94,PUTERI WANGSA,PUTERI WANGSA,0.0
70,124,PUTERI WANGSA,PUTERI WANGSA,0.0
71,140,PUTERI WANGSA,PUTERI WANGSA,0.0
71,117,PUTERI WANGSA,PUTERI WANGSA,0.0
71,127,PUTERI WANGSA,PUTERI WANGSA,0.0
71,73,PUTERI WANGSA,PUTERI WANGSA,0.0
72,112,PUTERI WANGSA,PUTERI WANGSA,0.0
72,140,PUTERI WANGSA,PUTERI WANGSA,0.0
72,111,PUTERI WANGSA,PUTERI WANGSA,0.0
72,127,PUTERI WANGSA,PUTERI WANGSA,0.0
73,196,PUTERI WANGSA,SKUDAI,0.4986104297547547
73,75,PUTERI WANGSA,PUTERI WANGSA,0.0
73,220,PUTERI WANGSA,SKUDAI,0.4986104297547547
73,74,PUTERI WANGSA,PUTERI WANGSA,0.0
73,114,PUTERI WANGSA,PUTERI WANGSA,0.0
73,130,PUTERI WANGSA,PUTERI WANGSA,0.0
73,127,PUTERI WANGSA,PUTERI WANGSA,0.0
73,135,PUTERI WANGSA,PUTERI WANGSA,0.0
74,220,PUTERI WANGSA,SKUDAI,0.4986104297547547
74,225,PUTERI WANGSA,SKUDAI,0.4986104297547547
