node1,node2,distance,distance_unit
0,29,1.0508099419599366,km
0,24,0.19066179747226225,km
0,28,0.2398885597722435,km
0,26,0.7543866203239856,km
0,5,1.8856592972771475,km
1,35,0.5969988076332681,km
1,13,1.3271369773583115,km
1,286,1.2770877247072296,km
1,29,1.8705610720630448,km
1,5,1.1560248753852413,km
2,243,1.0672686404974197,km
2,6,0.5141227847655178,km
2,3,0.5217302942331735,km
2,17,0.1649113508170402,km
2,30,0.1530095368863771,km
3,6,0.023116197146311874,km
3,21,0.16777953904450524,km
3,5,0.9551866703815444,km
3,30,0.6403500405323104,km
4,11,1.1374248687917372,km
4,24,0.8332220376367423,km
4,34,0.35531696224981113,km
4,12,0.8161614882214169,km
4,20,0.13258491958751242,km
4,22,0.14470968545903842,km
5,26,1.5794737581222629,km
5,29,1.9848875239130241,km
5,35,0.8558935877113979,km
5,27,0.4162974485909752,km
5,21,1.078043940273756,km
5,17,0.5148679933965679,km
5,30,0.500064517955036,km
6,243,1.1014077520278,km
6,21,0.17989739831190227,km
6,10,0.5224103296305527,km
7,16,0.24371163656785375,km
7,56,0.7030440714612215,km
7,25,0.9384498170773692,km
7,10,1.0375338420788376,km
7,131,0.5838110236592229,km
7,134,0.6318123691318471,km
8,56,1.3243059610006753,km
8,59,1.9364924498189708,km
8,34,1.2533703586034106,km
8,16,0.9016112259729737,km
8,26,0.2674558046904614,km
8,28,0.47151896348826056,km
9,143,1.7650197595685486,km
9,361,1.354151988492392,km
9,339,1.693904352710115,km
9,50,1.3127817232840386,km
9,91,1.552213633583325,km
9,81,1.5487500797744527,km
9,20,2.5844243661239936,km
9,152,2.2935578423136147,km
10,243,1.0190093412702121,km
10,21,0.4506918563871648,km
10,25,0.3167995566925725,km
10,261,0.9803938861446464,km
10,240,1.2082977876971297,km
10,134,1.0295085231352965,km
10,132,1.2217457535681369,km
11,24,1.012792557612695,km
11,12,0.7981180061718036,km
11,324,2.963540247983946,km
11,29,0.03003761637195933,km
12,155,1.9707310064294612,km
12,324,3.115430516123445,km
12,20,0.9260933139678206,km
12,152,2.1555230731090744,km
12,169,2.149796941924681,km
13,289,3.5763630206553385,km
13,331,1.7239984811728384,km
13,35,1.3509389673680647,km
13,245,3.795837972700462,km
13,14,4.203630652038132,km
13,286,1.0813106898642584,km
14,301,1.9409826649979849,km
14,289,1.4355929707948316,km
14,31,0.7764947405572165,km
14,18,0.7040824032835526,km
14,15,0.8465459401300819,km
14,23,1.8541167893935582,km
15,306,5.238596697944022,km
15,31,0.07915846327500939,km
15,36,0.6860138444073991,km
15,23,1.4589544226475393,km
15,33,0.7002313316998618,km
16,56,0.6338733994311067,km
16,26,0.898023750866866,km
16,25,1.058714965725845,km
17,27,0.581595884823461,km
17,243,1.1773089023070913,km
17,30,0.03826363160184694,km
18,31,0.0823239563141741,km
19,298,0.7155627892431515,km
19,326,0.6603353707469284,km
19,300,0.767035148223619,km
19,325,1.1132913602241916,km
19,292,0.634327886957321,km
19,32,0.11042737898966164,km
20,22,0.0271767765947906,km
20,81,1.732469526113023,km
20,152,2.463016378702884,km
21,25,0.21369819682222563,km
21,26,1.1936379724826514,km
22,34,0.33088453001084456,km
22,81,1.7222097772727076,km
23,301,1.5349636577545007,km
23,292,0.7887703844427029,km
23,33,0.9622469558272879,km
23,326,0.7856774230405813,km
23,32,0.2590517897398016,km
24,34,0.5735894845173576,km
24,29,1.0162438934238012,km
24,28,0.34406962838216143,km
25,26,1.1860449189960964,km
26,28,0.6107315300044162,km
27,35,0.5630645503281994,km
27,245,2.405522541665802,km
27,271,1.7548127463224261,km
27,243,1.6659179636585348,km
28,34,0.8219941061068861,km
29,286,2.564988557530267,km
29,324,2.9583617458496545,km
32,326,0.6474645155044528,km
32,292,0.6939847328268275,km
33,36,0.01744301222045676,km
33,326,1.2174470851761519,km
34,59,2.538895011430394,km
34,81,1.8208681465638297,km
35,245,2.8643427581196765,km
36,326,1.2341340048058338,km
36,306,4.73266754709876,km
37,91,1.5189020325762663,km
37,64,1.0421500209477046,km
37,81,1.4958696637494595,km
37,59,1.8580378757262372,km
37,120,0.6169934684659285,km
37,43,0.5198878000228706,km
38,115,0.5759428128987734,km
38,129,0.07954579635121106,km
38,113,0.48610713995148636,km
38,46,0.7501690150428498,km
38,83,0.8246780132080501,km
39,134,0.48748047597500865,km
39,131,0.5571277442102647,km
39,83,0.4936930308269939,km
