node1,node2,node1_brand,node2_brand,ecc
37,43,99 Speedmart,99 Speedmart,0.6
38,115,99 Speedmart,7-Eleven,0.75
38,129,99 Speedmart,7-Eleven,0.75
38,113,99 Speedmart,7-Eleven,0.75
38,46,99 Speedmart,99 Speedmart,0.75
38,83,99 Speedmart,KK Super Mart,0.75
39,134,99 Speedmart,MyNews,0.6
39,131,99 Speedmart,MyNews,0.6
39,83,99 Speedmart,KK Super Mart,0.6
39,92,99 Speedmart,Family Mart,1.0
39,123,99 Speedmart,7-Eleven,0.75
39,142,99 Speedmart,CU,1.0
40,119,99 Speedmart,7-Eleven,0.42857142857142855
40,42,99 Speedmart,99 Speedmart,0.6
40,79,99 Speedmart,KK Super Mart,0.6666666666666666
40,107,99 Speedmart,7-Eleven,0.6
40,95,99 Speedmart,7-Eleven,0.375
40,86,99 Speedmart,Family Mart,0.75
40,133,99 Speedmart,MyNews,0.6
40,60,99 Speedmart,99 Speedmart,1.0
40,41,99 Speedmart,99 Speedmart,0.75
40,122,99 Speedmart,7-Eleven,1.0
41,42,99 Speedmart,99 Speedmart,0.75
41,138,99 Speedmart,MyNews,0.75
41,84,99 Speedmart,KK Super Mart,1.0
41,107,99 Speedmart,7-Eleven,0.75
42,118,99 Speedmart,7-Eleven,0.75
42,117,99 Speedmart,7-Eleven,0.6
42,119,99 Speedmart,7-Eleven,0.6
42,138,99 Speedmart,MyNews,0.6
43,59,99 Speedmart,99 Speedmart,0.6
43,120,99 Speedmart,7-Eleven,1.0
43,55,99 Speedmart,99 Speedmart,0.6
43,45,99 Speedmart,99 Speedmart,0.6
43,100,99 Speedmart,7-Eleven,0.6
44,105,99 Speedmart,7-Eleven,0.75
44,125,99 Speedmart,7-Eleven,0.75
44,61,99 Speedmart,99 Speedmart,0.75
44,104,99 Speedmart,7-Eleven,0.75
44,48,99 Speedmart,99 Speedmart,0.75
45,129,99 Speedmart,7-Eleven,0.75
45,59,99 Speedmart,99 Speedmart,0.42857142857142855
45,113,99 Speedmart,7-Eleven,0.6
45,89,99 Speedmart,Family Mart,0.75
45,141,99 Speedmart,CU,0.75
45,102,99 Speedmart,7-Eleven,1.0
45,100,99 Speedmart,7-Eleven,0.42857142857142855
46,113,99 Speedmart,7-Eleven,0.75
46,136,99 Speedmart,MyNews,0.75
46,106,99 Speedmart,7-Eleven,1.0
46,83,99 Speedmart,KK Super Mart,0.75
47,90,99 Speedmart,Family Mart,0.75
47,78,99 Speedmart,KK Super Mart,0.75
47,119,99 Speedmart,7-Eleven,0.75
47,64,99 Speedmart,99 Speedmart,0.75
47,85,99 Speedmart,KK Super Mart,0.75
48,95,99 Speedmart,7-Eleven,0.75
48,104,99 Speedmart,7-Eleven,0.75
48,139,99 Speedmart,MyNews,0.75
48,61,99 Speedmart,99 Speedmart,0.75
49,110,99 Speedmart,7-Eleven,0.75
49,85,99 Speedmart,KK Super Mart,0.75
49,78,99 Speedmart,KK Super Mart,0.75
49,116,99 Speedmart,7-Eleven,0.75
49,182,99 Speedmart,7-Eleven,0.75
50,91,99 Speedmart,Family Mart,1.0
50,110,99 Speedmart,7-Eleven,1.0
50,339,99 Speedmart,99 Speedmart,1.0
51,66,99 Speedmart,99 Speedmart,0.75
51,58,99 Speedmart,99 Speedmart,0.75
51,80,99 Speedmart,KK Super Mart,0.75
51,101,99 Speedmart,7-Eleven,0.75
51,97,99 Speedmart,7-Eleven,1.0
52,125,99 Speedmart,7-Eleven,1.0
52,104,99 Speedmart,7-Eleven,1.0
52,108,99 Speedmart,7-Eleven,1.0
52,77,99 Speedmart,KK Super Mart,1.0
53,242,99 Speedmart,99 Speedmart,0.42857142857142855
53,101,99 Speedmart,7-Eleven,0.6
53,121,99 Speedmart,7-Eleven,0.42857142857142855
53,58,99 Speedmart,99 Speedmart,0.75
53,103,99 Speedmart,7-Eleven,1.0
53,246,99 Speedmart,99 Speedmart,0.42857142857142855
53,76,99 Speedmart,KK Super Mart,0.6
53,99,99 Speedmart,7-Eleven,1.0
53,97,99 Speedmart,7-Eleven,1.0
54,107,99 Speedmart,7-Eleven,1.0
54,96,99 Speedmart,7-Eleven,1.0
54,95,99 Speedmart,7-Eleven,1.0
54,124,99 Speedmart,7-Eleven,1.0
55,120,99 Speedmart,7-Eleven,1.0
55,64,99 Speedmart,99 Speedmart,0.6
55,79,99 Speedmart,KK Super Mart,0.6
55,100,99 Speedmart,7-Eleven,0.6
55,65,99 Speedmart,99 Speedmart,1.0
56,59,99 Speedmart,99 Speedmart,0.5
56,115,99 Speedmart,7-Eleven,0.6
56,131,99 Speedmart,MyNews,0.6
56,137,99 Speedmart,MyNews,1.0
57,130,99 Speedmart,MyNews,0.75
57,70,99 Speedmart,99 Speedmart,0.75
57,67,99 Speedmart,99 Speedmart,0.75
57,96,99 Speedmart,7-Eleven,0.75
57,124,99 Speedmart,7-Eleven,0.75
58,121,99 Speedmart,7-Eleven,0.75
58,66,99 Speedmart,99 Speedmart,0.75
58,97,99 Speedmart,7-Eleven,1.0
59,115,99 Speedmart,7-Eleven,0.6
59,81,99 Speedmart,KK Super Mart,0.5
59,129,99 Speedmart,7-Eleven,0.75
60,100,99 Speedmart,7-Eleven,0.75
60,133,99 Speedmart,MyNews,0.75
60,79,99 Speedmart,KK Super Mart,1.0
60,122,99 Speedmart,7-Eleven,1.0
61,273,99 Speedmart,7-Eleven,0.6
61,126,99 Speedmart,7-Eleven,0.6
61,105,99 Speedmart,7-Eleven,0.6
61,139,99 Speedmart,MyNews,0.75
62,69,99 Speedmart,99 Speedmart,1.0
62,88,99 Speedmart,Family Mart,1.0
62,68,99 Speedmart,99 Speedmart,1.0
62,76,99 Speedmart,KK Super Mart,1.0
63,135,99 Speedmart,MyNews,1.0
63,73,99 Speedmart,99 Speedmart,0.6
63,71,99 Speedmart,99 Speedmart,0.75
63,117,99 Speedmart,7-Eleven,0.6
63,67,99 Speedmart,99 Speedmart,0.6
63,138,99 Speedmart,MyNews,0.6
64,91,99 Speedmart,Family Mart,0.5
64,85,99 Speedmart,KK Super Mart,0.6
64,120,99 Speedmart,7-Eleven,1.0
64,119,99 Speedmart,7-Eleven,0.42857142857142855
64,65,99 Speedmart,99 Speedmart,1.0
65,119,99 Speedmart,7-Eleven,1.0
65,79,99 Speedmart,KK Super Mart,1.0
66,121,99 Speedmart,7-Eleven,0.42857142857142855
66,109,99 Speedmart,7-Eleven,0.42857142857142855
66,136,99 Speedmart,MyNews,0.6
66,89,99 Speedmart,Family Mart,0.75
66,141,99 Speedmart,CU,0.75
66,105,99 Speedmart,7-Eleven,0.42857142857142855
66,98,99 Speedmart,7-Eleven,1.0
66,80,99 Speedmart,KK Super Mart,0.75
66,87,99 Speedmart,Family Mart,0.5
66,82,99 Speedmart,KK Super Mart,0.75
66,241,99 Speedmart,99 Speedmart,0.75
67,135,99 Speedmart,MyNews,1.0
67,130,99 Speedmart,MyNews,0.6
67,96,99 Speedmart,7-Eleven,0.6
67,138,99 Speedmart,MyNews,0.6
68,267,99 Speedmart,7-Eleven,0.6666666666666666
68,246,99 Speedmart,99 Speedmart,0.42857142857142855
68,103,99 Speedmart,7-Eleven,1.0
68,69,99 Speedmart,99 Speedmart,0.6
68,248,99 Speedmart,99 Speedmart,0.6666666666666666
68,263,99 Speedmart,KK Super Mart,1.0
68,76,99 Speedmart,KK Super Mart,0.6
69,248,99 Speedmart,99 Speedmart,0.6
69,273,99 Speedmart,7-Eleven,0.6
69,88,99 Speedmart,Family Mart,1.0
69,121,99 Speedmart,7-Eleven,0.6
70,130,99 Speedmart,MyNews,0.4
70,273,99 Speedmart,7-Eleven,0.4
70,126,99 Speedmart,7-Eleven,0.8
70,94,99 Speedmart,7-Eleven,1.0
70,124,99 Speedmart,7-Eleven,0.8
71,140,99 Speedmart,MyNews,0.75
71,117,99 Speedmart,7-Eleven,0.75
71,127,99 Speedmart,7-Eleven,0.75
71,73,99 Speedmart,99 Speedmart,0.75
72,112,99 Speedmart,7-Eleven,1.0
72,140,99 Speedmart,MyNews,1.0
72,111,99 Speedmart,7-Eleven,1.0
72,127,99 Speedmart,7-Eleven,1.0
73,196,99 Speedmart,99 Speedmart,0.42857142857142855
73,75,99 Speedmart,99 Speedmart,1.0
73,220,99 Speedmart,Family Mart,0.6
73,74,99 Speedmart,99 Speedmart,0.42857142857142855
73,114,99 Speedmart,7-Eleven,0.6
73,130,99 Speedmart,MyNews,0.6
73,127,99 Speedmart,7-Eleven,0.6
73,135,99 Speedmart,MyNews,1.0
74,220,99 Speedmart,Family Mart,0.6
74,225,99 Speedmart,7-Eleven,0.42857142857142855
74,172,99 Speedmart,99 Speedmart,0.75
74,114,99 Speedmart,7-Eleven,0.6
74,170,99 Speedmart,99 Speedmart,0.42857142857142855
74,128,99 Speedmart,7-Eleven,0.75
74,93,99 Speedmart,Family Mart,1.0
75,196,99 Speedmart,99 Speedmart,1.0
75,130,99 Speedmart,MyNews,1.0
76,103,KK Super Mart,7-Eleven,1.0
76,88,KK Super Mart,Family Mart,1.0
76,121,KK Super Mart,7-Eleven,0.6
77,95,KK Super Mart,7-Eleven,0.75
77,104,KK Super Mart,7-Eleven,0.75
77,86,KK Super Mart,Family Mart,0.75
77,108,KK Super Mart,7-Eleven,0.75
78,85,KK Super Mart,KK Super Mart,0.75
78,116,KK Super Mart,7-Eleven,0.75
78,90,KK Super Mart,Family Mart,0.75
79,100,KK Super Mart,7-Eleven,0.5
79,119,KK Super Mart,7-Eleven,0.5
79,122,KK Super Mart,7-Eleven,1.0
80,101,KK Super Mart,7-Eleven,0.75
80,262,KK Super Mart,KK Super Mart,0.75
80,241,KK Super Mart,99 Speedmart,0.75
81,91,KK Super Mart,Family Mart,0.5
82,100,KK Super Mart,7-Eleven,0.75
82,98,KK Super Mart,7-Eleven,1.0
82,102,KK Super Mart,7-Eleven,1.0
82,141,KK Super Mart,CU,0.75
83,115,KK Super Mart,7-Eleven,0.6
83,131,KK Super Mart,MyNews,0.6
