node1,node2,node1_brand,node2_brand,brand_distance
37,43,99 Speedmart,99 Speedmart,0.5
38,115,99 Speedmart,7-Eleven,1.0
38,129,99 Speedmart,7-Eleven,1.0
38,113,99 Speedmart,7-Eleven,1.0
38,46,99 Speedmart,99 Speedmart,0.5
38,83,99 Speedmart,KK Super Mart,1.0
39,134,99 Speedmart,MyNews,1.0
39,131,99 Speedmart,MyNews,1.0
39,83,99 Speedmart,KK Super Mart,1.0
39,92,99 Speedmart,Family Mart,1.0
39,123,99 Speedmart,7-Eleven,1.0
39,142,99 Speedmart,CU,1.0
40,119,99 Speedmart,7-Eleven,1.0
40,42,99 Speedmart,99 Speedmart,0.5
40,79,99 Speedmart,KK Super Mart,1.0
40,107,99 Speedmart,7-Eleven,1.0
40,95,99 Speedmart,7-Eleven,1.0
40,86,99 Speedmart,Family Mart,1.0
40,133,99 Speedmart,MyNews,1.0
40,60,99 Speedmart,99 Speedmart,0.5
40,41,99 Speedmart,99 Speedmart,0.5
40,122,99 Speedmart,7-Eleven,1.0
41,42,99 Speedmart,99 Speedmart,0.5
41,138,99 Speedmart,MyNews,1.0
41,84,99 Speedmart,KK Super Mart,1.0
41,107,99 Speedmart,7-Eleven,1.0
42,118,99 Speedmart,7-Eleven,1.0
42,117,99 Speedmart,7-Eleven,1.0
42,119,99 Speedmart,7-Eleven,1.0
42,138,99 Speedmart,MyNews,1.0
43,59,99 Speedmart,99 Speedmart,0.5
43,120,99 Speedmart,7-Eleven,1.0
43,55,99 Speedmart,99 Speedmart,0.5
43,45,99 Speedmart,99 Speedmart,0.5
43,100,99 Speedmart,7-Eleven,1.0
44,105,99 Speedmart,7-Eleven,1.0
44,125,99 Speedmart,7-Eleven,1.0
44,61,99 Speedmart,99 Speedmart,0.5
44,104,99 Speedmart,7-Eleven,1.0
44,48,99 Speedmart,99 Speedmart,0.5
45,129,99 Speedmart,7-Eleven,1.0
45,59,99 Speedmart,99 Speedmart,0.5
45,113,99 Speedmart,7-Eleven,1.0
45,89,99 Speedmart,Family Mart,1.0
45,141,99 Speedmart,CU,1.0
45,102,99 Speedmart,7-Eleven,1.0
45,100,99 Speedmart,7-Eleven,1.0
46,113,99 Speedmart,7-Eleven,1.0
46,136,99 Speedmart,MyNews,1.0
46,106,99 Speedmart,7-Eleven,1.0
46,83,99 Speedmart,KK Super Mart,1.0
47,90,99 Speedmart,Family Mart,1.0
47,78,99 Speedmart,KK Super Mart,1.0
47,119,99 Speedmart,7-Eleven,1.0
47,64,99 Speedmart,99 Speedmart,0.5
47,85,99 Speedmart,KK Super Mart,1.0
48,95,99 Speedmart,7-Eleven,1.0
48,104,99 Speedmart,7-Eleven,1.0
48,139,99 Speedmart,MyNews,1.0
48,61,99 Speedmart,99 Speedmart,0.5
49,110,99 Speedmart,7-Eleven,1.0
49,85,99 Speedmart,KK Super Mart,1.0
49,78,99 Speedmart,KK Super Mart,1.0
49,116,99 Speedmart,7-Eleven,1.0
49,182,99 Speedmart,7-Eleven,1.0
50,91,99 Speedmart,Family Mart,1.0
50,110,99 Speedmart,7-Eleven,1.0
50,339,99 Speedmart,99 Speedmart,0.5
51,66,99 Speedmart,99 Speedmart,0.5
51,58,99 Speedmart,99 Speedmart,0.5
51,80,99 Speedmart,KK Super Mart,1.0
51,101,99 Speedmart,7-Eleven,1.0
51,97,99 Speedmart,7-Eleven,1.0
52,125,99 Speedmart,7-Eleven,1.0
52,104,99 Speedmart,7-Eleven,1.0
52,108,99 Speedmart,7-Eleven,1.0
52,77,99 Speedmart,KK Super Mart,1.0
53,242,99 Speedmart,99 Speedmart,0.5
53,101,99 Speedmart,7-Eleven,1.0
