node1,node2,d_geo,d_geo_norm,d_brand,d_socio_pca,d_socio_norm,ecc,combined_weight,formula
6,21,0.17989739831190227,0.03031159360390698,1.0,0.0,0.0,0.75,0.18788666611559443,(0.69*0.030 + 0.12*1.000 + 0.19*0.000) / 0.750
6,10,0.5224103296305527,0.08802289390972658,1.0,0.0,0.0,0.75,0.24098106239694847,(0.69*0.088 + 0.12*1.000 + 0.19*0.000) / 0.750
7,16,0.24371163656785375,0.04106389616252224,1.0,0.0,0.0,0.75,0.19777878446952046,(0.69*0.041 + 0.12*1.000 + 0.19*0.000) / 0.750
7,56,0.7030440714612215,0.1184585568203782,0.5,0.46193516057016215,0.41364648353105316,0.6,0.36721539346160176,(0.69*0.118 + 0.12*0.500 + 0.19*0.414) / 0.600
7,25,0.9384498170773692,0.15812296197631023,1.0,0.0,0.0,0.75,0.3054731250182054,(0.69*0.158 + 0.12*1.000 + 0.19*0.000) / 0.750
7,10,1.0375338420788376,0.17481800440975692,0.5,0.0,0.0,0.6,0.30104070507122044,(0.69*0.175 + 0.12*0.500 + 0.19*0.000) / 0.600
7,131,0.5838110236592229,0.09836852926554235,1.0,0.46193516057016215,0.41364648353105316,0.6,0.4441118617735405,(0.69*0.098 + 0.12*1.000 + 0.19*0.414) / 0.600
7,134,0.6318123691318471,0.1064564576628407,1.0,0.46193516057016215,0.41364648353105316,0.6,0.4534129794304337,(0.69*0.106 + 0.12*1.000 + 0.19*0.414) / 0.600
8,56,1.3243059610006753,0.22313732424015895,0.5,0.46193516057016215,0.41364648353105316,0.6,0.4875959759943496,(0.69*0.223 + 0.12*0.500 + 0.19*0.414) / 0.600
8,59,1.9364924498189708,0.3262869430394832,0.5,0.46193516057016215,0.41364648353105316,0.6,0.6062180376135725,(0.69*0.326 + 0.12*0.500 + 0.19*0.414) / 0.600
8,34,1.2533703586034106,0.21118511608100426,1.0,0.0,0.0,0.6,0.44286288349315495,(0.69*0.211 + 0.12*1.000 + 0.19*0.000) / 0.600
8,16,0.9016112259729737,0.1519158883166849,1.0,0.0,0.0,0.75,0.2997626172513501,(0.69*0.152 + 0.12*1.000 + 0.19*0.000) / 0.750
8,26,0.2674558046904614,0.04506464092786612,1.0,0.0,0.0,0.6,0.25182433706704604,(0.69*0.045 + 0.12*1.000 + 0.19*0.000) / 0.600
8,28,0.47151896348826056,0.07944801499025346,1.0,0.0,0.0,0.75,0.23309217379103317,(0.69*0.079 + 0.12*1.000 + 0.19*0.000) / 0.750
9,143,1.7650197595685486,0.2973948603867485,0.5,0.7192649599808704,0.6440761535795692,0.6,0.645961538078291,(0.69*0.297 + 0.12*0.500 + 0.19*0.644) / 0.600
9,361,1.354151988492392,0.2281661943878608,1.0,0.7183682899220569,0.6432732174786281,0.75,0.532875447264751,(0.69*0.228 + 0.12*1.000 + 0.19*0.643) / 0.750
9,339,1.693904352710115,0.2854123562933209,0.5,0.7183682899220569,0.6432732174786281,0.42857142857142855,0.8846983533811051,(0.69*0.285 + 0.12*0.500 + 0.19*0.643) / 0.429
9,50,1.3127817232840386,0.22119556180479638,0.5,0.46193516057016215,0.41364648353105316,1.0,0.2912177695162096,(0.69*0.221 + 0.12*0.500 + 0.19*0.414) / 1.000
9,91,1.552213633583325,0.26153835068835807,1.0,0.46193516057016215,0.41364648353105316,0.5,0.7581085876917343,(0.69*0.262 + 0.12*1.000 + 0.19*0.414) / 0.500
9,81,1.5487500797744527,0.2609547633965742,1.0,0.46193516057016215,0.41364648353105316,0.5,0.7573032372290726,(0.69*0.261 + 0.12*1.000 + 0.19*0.414) / 0.500
