node_id,store_id,brand,region,longitude,latitude,community_id,is_generator,is_boundary_node
79,213,KK Super Mart,PUTERI WANGSA,103.7585829,1.5599941,8,False,True
80,214,KK Super Mart,PUTERI WANGSA,103.8014824,1.5671922,3,False,False
81,215,KK Super Mart,PUTERI WANGSA,103.7708878,1.5281696,4,False,True
82,216,KK Super Mart,PUTERI WANGSA,103.7788696,1.5632619,3,False,False
83,218,KK Super Mart,PUTERI WANGSA,103.7912032,1.5534278,3,False,False
84,220,KK Super Mart,PUTERI WANGSA,103.7428411,1.5692133,8,False,False
85,222,KK Super Mart,PUTERI WANGSA,103.7482126,1.5387735,8,False,True
86,275,Family Mart,PUTERI WANGSA,103.7568278,1.5722185,8,False,True
87,277,Family Mart,PUTERI WANGSA,103.8003327,1.5626553,3,False,False
88,278,Family Mart,PUTERI WANGSA,103.8018392,1.5907416,3,False,False
89,279,Family Mart,PUTERI WANGSA,103.7811505,1.5587898,3,False,False
90,281,Family Mart,PUTERI WANGSA,103.7465789,1.5475422,8,False,False
91,282,Family Mart,PUTERI WANGSA,103.7572752,1.5297573,4,False,True
92,285,Family Mart,PUTERI WANGSA,103.7971693,1.553264,3,False,False
93,288,Family Mart,PUTERI WANGSA,103.7116507,1.5454929,8,False,False
94,330,7-Eleven,PUTERI WANGSA,103.759241,1.5887545,8,False,False
95,332,7-Eleven,PUTERI WANGSA,103.7487577,1.5742784,8,False,True
96,333,7-Eleven,PUTERI WANGSA,103.7372086,1.582965,8,False,False
97,334,7-Eleven,PUTERI WANGSA,103.8011086,1.5721558,3,False,False
98,337,7-Eleven,PUTERI WANGSA,103.7781524,1.5647155,3,False,False
99,339,7-Eleven,PUTERI WANGSA,103.8120607,1.5771632,3,False,False
100,340,7-Eleven,PUTERI WANGSA,103.776459,1.56177,3,False,True
101,341,7-Eleven,PUTERI WANGSA,103.8038951,1.568832,3,False,False
102,342,7-Eleven,PUTERI WANGSA,103.7787491,1.5616612,3,False,False
103,344,7-Eleven,PUTERI WANGSA,103.8068333,1.5906318,3,False,False
104,345,7-Eleven,PUTERI WANGSA,103.7583049,1.5767881,3,False,True
105,347,7-Eleven,PUTERI WANGSA,103.7745832,1.571438,3,False,False
106,349,7-Eleven,PUTERI WANGSA,103.7907179,1.5542013,3,False,False
107,350,7-Eleven,PUTERI WANGSA,103.7436816,1.5699882,8,False,False
108,352,7-Eleven,PUTERI WANGSA,103.7591169,1.5725447,3,False,True
109,356,7-Eleven,PUTERI WANGSA,103.7951889,1.5555036,3,False,False
110,357,7-Eleven,PUTERI WANGSA,103.7503663,1.5205126,4,False,True
111,359,7-Eleven,PUTERI WANGSA,103.7158409,1.5469453,8,False,False
112,364,7-Eleven,PUTERI WANGSA,103.7128071,1.5453251,8,False,False
113,365,7-Eleven,PUTERI WANGSA,103.7842466,1.5546985,3,False,False
114,367,7-Eleven,PUTERI WANGSA,103.7119583,1.5473113,8,False,False
115,368,7-Eleven,PUTERI WANGSA,103.7878558,1.5464189,3,False,False
116,371,7-Eleven,PUTERI WANGSA,103.7431428,1.5422874,8,False,True
117,372,7-Eleven,PUTERI WANGSA,103.7378449,1.5571739,8,False,False
118,373,7-Eleven,PUTERI WANGSA,103.7458098,1.5479342,8,False,False
119,375,7-Eleven,PUTERI WANGSA,103.7545329,1.5551315,8,False,False
120,377,7-Eleven,PUTERI WANGSA,103.762589,1.5451924,8,False,True
121,378,7-Eleven,PUTERI WANGSA,103.8001429,1.579839,3,False,False
122,381,7-Eleven,PUTERI WANGSA,103.7585678,1.5602908,8,False,True
123,383,7-Eleven,PUTERI WANGSA,103.7975711,1.5537451,3,False,False
124,384,7-Eleven,PUTERI WANGSA,103.7585808,1.5879389,8,False,False
125,386,7-Eleven,PUTERI WANGSA,103.7662009,1.5731337,3,False,False
126,396,7-Eleven,PUTERI WANGSA,103.7618485,1.5882637,8,False,True
127,405,7-Eleven,PUTERI WANGSA,103.7154498,1.5523704,8,False,False
128,406,7-Eleven,PUTERI WANGSA,103.7110709,1.5429701,8,False,False
129,408,7-Eleven,PUTERI WANGSA,103.7839004,1.5498877,3,False,False
130,509,MyNews,PUTERI WANGSA,103.7229211,1.5823947,8,False,False
131,510,MyNews,PUTERI WANGSA,103.7936792,1.5492989,3,False,False
132,511,MyNews,PUTERI WANGSA,103.798371,1.553658,3,False,False
133,512,MyNews,PUTERI WANGSA,103.7584605,1.5661735,3,False,True
134,513,MyNews,PUTERI WANGSA,103.796804,1.549699,3,False,False
135,514,MyNews,PUTERI WANGSA,103.7242533,1.5771182,8,False,False
136,516,MyNews,PUTERI WANGSA,103.7899654,1.5554127,3,False,False
137,518,MyNews,PUTERI WANGSA,103.7880814,1.5463409,3,False,False
138,519,MyNews,PUTERI WANGSA,103.7350412,1.5639165,8,False,False
139,520,MyNews,PUTERI WANGSA,103.7598062,1.5828397,8,False,True
140,521,MyNews,PUTERI WANGSA,103.7163516,1.5469405,8,False,False
141,552,CU,PUTERI WANGSA,103.7803488,1.560421,3,False,False
142,553,CU,PUTERI WANGSA,103.7955743,1.5542055,3,False,False
143,9,99 Speedmart,STULANG,103.7661519,1.5014017,4,False,False
144,103,99 Speedmart,STULANG,103.768196,1.491283,4,False,False
145,108,99 Speedmart,STULANG,103.7830739,1.4941632,4,False,False
146,109,99 Speedmart,STULANG,103.7755545,1.4826956,4,False,False
147,110,99 Speedmart,STULANG,103.7672366,1.4780451,4,False,False
148,229,KK Super Mart,STULANG,103.7844501,1.4932377,4,False,True
149,230,KK Super Mart,STULANG,103.768051,1.4872491,4,False,False
150,231,KK Super Mart,STULANG,103.768554,1.4931083,4,False,False
151,237,KK Super Mart,STULANG,103.7687401,1.4587112,4,False,False
152,280,Family Mart,STULANG,103.7768069,1.501839,4,False,False
153,292,Family Mart,STULANG,103.7683755,1.492217,4,False,False
154,297,Family Mart,STULANG,103.7675685,1.4843408,4,False,False
155,387,7-Eleven,STULANG,103.7890748,1.4980024,4,False,True
156,399,7-Eleven,STULANG,103.774611,1.4787306,4,False,True
157,414,7-Eleven,STULANG,103.7671099,1.4838832,4,False,False
158,425,7-Eleven,STULANG,103.773375,1.4809204,4,False,False
159,427,7-Eleven,STULANG,103.7645323,1.4634029,4,False,False
160,428,7-Eleven,STULANG,103.768637,1.4597849,4,False,False
161,429,7-Eleven,STULANG,103.7675936,1.4916583,4,False,False
162,452,7-Eleven,STULANG,103.7661501,1.4936844,4,False,False
163,455,7-Eleven,STULANG,103.7691562,1.4862176,4,False,False
164,459,7-Eleven,STULANG,103.7718486,1.4629294,4,False,True
165,525,MyNews,STULANG,103.7630485,1.4707038,4,False,False
166,526,MyNews,STULANG,103.778424,1.497856,4,False,False
167,530,MyNews,STULANG,103.762476,1.471088,4,False,False
168,531,MyNews,STULANG,103.7694567,1.4592273,4,False,True
169,555,CU,STULANG,103.7774187,1.5013338,4,False,False
170,82,99 Speedmart,KEMPAS,103.7102226,1.5364626,8,False,True
171,84,99 Speedmart,KEMPAS,103.6963687,1.5259138,8,False,True
172,85,99 Speedmart,KEMPAS,103.6886935,1.5341195,8,False,False
173,88,99 Speedmart,KEMPAS,103.6889222,1.5174938,8,False,True
174,91,99 Speedmart,KEMPAS,103.718204,1.511061,4,False,True
175,93,99 Speedmart,KEMPAS,103.6995833,1.5055,7,False,True
176,94,99 Speedmart,KEMPAS,103.7084525,1.5025634,4,False,True
177,95,99 Speedmart,KEMPAS,103.7011991,1.5137843,4,False,True
178,225,KK Super Mart,KEMPAS,103.7082198,1.5037389,4,False,True
179,226,KK Super Mart,KEMPAS,103.6831619,1.5131328,7,False,False
180,291,Family Mart,KEMPAS,103.6855381,1.5155291,7,False,False
181,296,Family Mart,KEMPAS,103.7054151,1.4954277,7,False,True
182,343,7-Eleven,KEMPAS,103.7307282,1.510479,4,False,True
183,355,7-Eleven,KEMPAS,103.7217552,1.5120146,4,False,True
184,388,7-Eleven,KEMPAS,103.6851193,1.516239,7,False,True
185,397,7-Eleven,KEMPAS,103.7008886,1.5133069,4,False,True
186,407,7-Eleven,KEMPAS,103.6956633,1.5271186,8,False,False
187,410,7-Eleven,KEMPAS,103.7010606,1.5136399,4,False,True
188,411,7-Eleven,KEMPAS,103.6878622,1.5334001,8,False,False
189,412,7-Eleven,KEMPAS,103.6857437,1.5156318,7,False,True
190,460,7-Eleven,KEMPAS,103.7187407,1.5099851,4,False,False
191,461,7-Eleven,KEMPAS,103.6880049,1.5180747,8,False,True
192,523,MyNews,KEMPAS,103.6865797,1.5152677,7,False,True
193,535,MyNews,KEMPAS,103.7057484,1.4949273,7,False,True
194,557,CU,KEMPAS,103.7082988,1.4999093,7,False,True
