number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_R,user_attrs_R,user_attrs_alpha,user_attrs_beta,user_attrs_community_distinction,user_attrs_gamma,user_attrs_ifr,user_attrs_inequality,user_attrs_modularity,user_attrs_n_comm,system_attrs_NSGAIISampler:generation,state
10,0.7382020263511397,0.0,0.0,0.0,2025-11-21 04:54:20.663661,2025-11-21 04:54:21.051167,0 days 00:00:00.387506,1.7161371901059257,1.7161371901059257,0.4433338079894553,0.42783633388288,0.0,0.12882985812766462,0.0,1.0,0.7382020263511397,43,0,COMPLETE
11,-8.881784197001252e-16,0.0,0.0,0.0,2025-11-21 04:54:21.052170,2025-11-21 04:54:21.379127,0 days 00:00:00.326957,11.68405344770094,11.68405344770094,0.3105291778210148,0.11983425703669513,0.0,0.5696365651422901,0.0,1.0,-8.881784197001252e-16,1,0,COMPLETE
12,0.47705589627275546,0.0,0.0,0.0,2025-11-21 04:54:21.380126,2025-11-21 04:54:21.713697,0 days 00:00:00.333571,10.240647728404427,10.240647728404427,0.235133137334655,0.2670847282318741,0.0,0.49778213443347097,0.0,1.0,0.47705589627275546,2,0,COMPLETE
13,0.7375611736376074,0.805398338132229,0.17668635053960227,0.9127140979395841,2025-11-21 04:54:21.714700,2025-11-21 04:54:22.055339,0 days 00:00:00.340639,3.7295606621218997,3.7295606621218997,0.3415956194238393,0.25137385169773396,0.17668635053960227,0.4070305288784266,0.9127140979395841,0.19460166186777098,0.7375611736376074,7,0,COMPLETE
14,0.7764644430567651,0.8892677348408862,0.24534019776002977,0.846587152821266,2025-11-21 04:54:22.057244,2025-11-21 04:54:22.411383,0 days 00:00:00.354139,3.4091621556745566,3.4091621556745566,0.2407059033221699,0.6004951920254257,0.24534019776002977,0.15879890465240443,0.846587152821266,0.11073226515911377,0.7764644430567651,17,0,COMPLETE
15,0.7837917461422939,0.0,0.0,0.0,2025-11-21 04:54:22.412381,2025-11-21 04:54:22.765441,0 days 00:00:00.353060,3.425747353461055,3.425747353461055,0.1585858722260805,0.6329215711901772,0.0,0.20849255658374222,0.0,1.0,0.7837917461422939,21,0,COMPLETE
16,0.7173596450199949,0.8023471884928327,0.1524352571534103,0.9183214878893023,2025-11-21 04:54:22.766441,2025-11-21 04:54:23.103798,0 days 00:00:00.337357,4.694543551075146,4.694543551075146,0.3623616287735437,0.3160025760349,0.1524352571534103,0.3216357951915562,0.9183214878893023,0.1976528115071673,0.7173596450199949,6,0,COMPLETE
17,0.3985641466881865,0.4020889878962375,0.10575871718337947,0.9895181473889191,2025-11-21 04:54:23.104799,2025-11-21 04:54:23.442123,0 days 00:00:00.337324,7.009942532138497,7.009942532138497,0.757658904484857,0.12748363347861716,0.10575871718337947,0.11485746203652589,0.9895181473889191,0.5979110121037625,0.3985641466881865,3,0,COMPLETE
18,0.6913249295403908,0.7502621768262658,0.16655822906339213,0.944232380790068,2025-11-21 04:54:23.444122,2025-11-21 04:54:23.783049,0 days 00:00:00.338927,6.0354226957422155,6.0354226957422155,0.5517274112726784,0.3039671834220614,0.16655822906339213,0.1443054053052602,0.944232380790068,0.24973782317373422,0.6913249295403908,5,0,COMPLETE
19,0.6909222024446595,0.7493412515968167,0.16162431235082278,0.9456364066894628,2025-11-21 04:54:23.784317,2025-11-21 04:54:24.125936,0 days 00:00:00.341619,4.55790597207944,4.55790597207944,0.26948068396953884,0.20620910813289212,0.16162431235082278,0.5243102078975691,0.9456364066894628,0.25065874840318325,0.6909222024446595,5,0,COMPLETE
20,0.7138288952929199,0.7719542323900841,0.16439028135583406,0.9557005218197285,2025-11-21 04:54:24.126936,2025-11-21 04:54:24.464611,0 days 00:00:00.337675,7.924455394584984,7.924455394584984,0.28356645714645834,0.5393776444054924,0.16439028135583406,0.1770558984480493,0.9557005218197285,0.22804576760991593,0.7138288952929199,5,0,COMPLETE
21,0.7718616495888645,0.9010371508313701,0.22560417524655185,0.8584417143213828,2025-11-21 04:54:24.465612,2025-11-21 04:54:24.821914,0 days 00:00:00.356302,2.9646855368464395,2.9646855368464395,0.1067937544415413,0.4095200817181438,0.22560417524655185,0.48368616384031493,0.8584417143213828,0.09896284916862981,0.7718616495888645,13,0,COMPLETE
22,0.7553380101650924,0.8643379256660739,0.16727472665533086,0.8975668682311778,2025-11-21 04:54:24.823245,2025-11-21 04:54:25.171926,0 days 00:00:00.348681,4.5675188096197905,4.5675188096197905,0.1266602571674733,0.3786818938649177,0.16727472665533086,0.494657848967609,0.8975668682311778,0.13566207433392602,0.7553380101650924,8,0,COMPLETE
