Method,Parameters,Number_of_Communities,Intra_Flow_Ratio,Normalized_Inequality,Community_Distinction,Modularity
Leiden,Res=0.367,9,0.9634250172047429,0.060903302203959495,0.2936612914047757,0.8479843445524505
Fastgreedy,,9,0.9593849294150546,0.07731824869833748,0.2769901763484477,0.8409336559308003
Walktrap,Steps=8,9,0.9678295094590775,0.19703881007168103,0.28457632309121395,0.8220384473445735
Voronoi,R=2.6000,9,0.9262359860850973,0.15226938238144153,0.3252451001140497,0.7905244371551573
